author_id,degree,pagerank,betweenness,closeness
1,7,2.717562663923527e-05,0.0,0.048763983046633035
2,7,2.717562663923527e-05,0.0,0.048763983046633035
3,7,2.717562663923527e-05,0.0,0.048763983046633035
4,7,2.717562663923527e-05,0.0,0.048763983046633035
5,25,5.777213617020023e-05,2.2953713854353086e-05,0.06026019010303748
6,11,4.0629401810698876e-05,6.547238497589317e-07,0.05166789833498269
7,11,4.0629401810698876e-05,6.547238497589317e-07,0.05166789833498269
8,11,4.0629401810698876e-05,6.547238497589317e-07,0.05166789833498269
9,35,5.3552787261893e-05,4.399975381823825e-05,0.06268591809447331
10,13,3.1321278033474275e-05,1.937733010012428e-06,0.05563912181975753
11,13,3.1321278033474275e-05,1.937733010012428e-06,0.05563912181975753
12,24,5.000179504192031e-05,9.806234400537155e-06,0.05782686653951546
13,19,3.64190320127916e-05,1.3159587527927392e-07,0.05653009009228777
14,31,6.759908404852739e-05,6.984301327544837e-06,0.05717253007663362
15,65,0.0001148436653216654,0.00016752824344960635,0.06404158141845269
16,20,5.055701543964534e-05,1.4285955459868013e-07,0.056531005411104035
17,85,0.0001601315482177703,0.00038494931259826595,0.06506317240062215
18,25,5.810992719211848e-05,5.132933800559376e-06,0.058550308472074215
19,21,4.889614642027975e-05,5.808169748485723e-07,0.05740943672103569
20,29,5.7303667486204475e-05,5.8864173401085365e-05,0.062144762360758714
21,18,3.9863811690099975e-05,2.8530347463184696e-09,0.056529174803111704
22,18,3.9863811690099975e-05,2.8530347463184696e-09,0.056529174803111704
23,29,5.30886551876801e-05,3.9500708297548745e-06,0.05760931447082346
24,36,6.272916392081251e-05,4.27404093788411e-05,0.06236232730534581
25,39,7.178761654220058e-05,4.562654200171087e-05,0.06268929478013009
26,48,7.835429350366495e-05,2.9755393076090092e-05,0.06245603646070348
27,36,6.813010227370772e-05,6.2264773620365e-06,0.058730548121684614
28,51,8.746400962723933e-05,3.3947246393971285e-05,0.06282466115181447
29,36,6.813010227370773e-05,6.220250884674464e-06,0.058730548121684614
30,44,6.0175165724382675e-05,2.535642372771338e-05,0.06209171235820991
31,43,7.679588384938418e-05,5.47329561364639e-05,0.0607911076436444
32,22,3.999997935247789e-05,4.4969370111732946e-08,0.05458995081289927
33,22,3.999997935247789e-05,4.4969370111732946e-08,0.05458995081289927
34,22,3.999997935247789e-05,4.4969370111732946e-08,0.05458995081289927
35,37,5.931348461108848e-05,1.6996658036328695e-05,0.060604330819659866
36,22,3.999997935247789e-05,4.4969370111732946e-08,0.05458995081289927
37,37,5.931348461108848e-05,1.6996658036328695e-05,0.060604330819659866
38,35,7.785219288135368e-05,2.8824911879989094e-05,0.06005082377347412
39,27,5.46250787341567e-05,2.2108993681698074e-06,0.05619163559122826
40,31,6.73633882355979e-05,1.2704323466651812e-05,0.05737641568101537
41,38,6.742481023724348e-05,5.2922047413512914e-05,0.059735399493383495
42,41,6.496238936169311e-05,3.713416603062222e-05,0.05851400094172298
43,30,5.39166523482872e-05,7.262478999423554e-06,0.056841165266916065
44,31,6.176372055783166e-05,1.1861383488029112e-05,0.05684209068720956
45,30,5.3916652348287195e-05,7.262478999423554e-06,0.056841165266916065
46,36,6.508744131176938e-05,9.791190361429006e-05,0.05914944082590359
47,35,7.505162533295452e-05,5.6261372984450815e-05,0.05707346205335336
48,17,2.949887658090526e-05,5.722495570283631e-06,0.05768260270936582
49,34,6.49340329351844e-05,9.839062005084197e-05,0.059940510141119466
50,24,4.403257248332544e-05,1.4138371845950142e-05,0.05696079378389052
51,31,5.911570640685452e-05,6.154486872035474e-06,0.059238761630042
52,45,7.44801186739826e-05,4.3390432071177295e-05,0.061535768443692566
53,46,9.456284142607075e-05,6.142898623366014e-05,0.06074985460823346
54,31,5.911570640685453e-05,6.154486872035474e-06,0.059238761630042
55,32,6.471214155647753e-05,3.5092773069465494e-05,0.05872363329952207
56,19,3.950816449259217e-05,1.5391818193930403e-06,0.05703057701350537
57,32,4.9847266152357835e-05,4.557223546080947e-05,0.06255114831212888
58,27,4.965490750920523e-05,3.203431046841281e-05,0.0598921826292549
59,29,4.6117303151432525e-05,1.484528739561247e-05,0.05997036817118048
60,33,5.3001996268255525e-05,3.5685173094704234e-05,0.058756246010497726
61,31,4.8468839064980775e-05,6.540756424485814e-06,0.05982034977365817
62,31,4.8468839064980775e-05,6.540756424485814e-06,0.05982034977365817
63,62,9.795889642576473e-05,5.9141908016367494e-05,0.06460208152967555
64,40,5.940412741097995e-05,1.973769996311292e-05,0.062120436528117454
65,23,3.440785887747777e-05,3.2366920510305355e-06,0.058482636127737235
66,28,4.652129220332373e-05,1.7567524500551327e-06,0.05766926370872277
